Hedgerow,Sample Name,User Email,Distance_from_hedgerow_feet,Extract Type,Anlys. Mode,Num. Drops,sampling_layer,Readout,microbes_ugC_per_gsoil,FB_ratio,Fungal_percent,Bacterial_percent,Sample_date,Test_date,cold_storage_days_bet_sample_and_test,max_depth_cm,pH (scale),Soil Moisture (percent),Soil Temperature (Fahrenheit),Soil Class,Site_Name,Weather,Crop Type,Crop Quality,Mgmt Practices,Irrigation Freq. (Times/wk),Irrigation Cycle (min.),Irrigation Rate (Gal/min),,,,,Notes
Hazel,hazel3-20-30,sharedharvest2012@gmail.com,30,Soil,microbes,3,20-30cm,250 ug C / g F:B = 0.5 : 1 F 31 % B 69 %,250.3,0.5,31.2,68.8,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,Hazel3 0-15,sharedharvest2012@gmail.com,30,Soil,microbes,3,0-15cm,426 ug C / g F:B = 0.8 : 1 F 45 % B 55 %,425.9,0.8,45,55,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,hazel2 20-30cm,sharedharvest2012@gmail.com,15,Soil,microbes,3,20-30cm,274 ug C / g F:B = 0.5 : 1 F 34 % B 66 %,273.6,0.5,33.7,66.3,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,hazel2 0-15,sharedharvest2012@gmail.com,15,Soil,microbes,3,0-15cm,855 ug C / g F:B = 1.7 : 1 F 64 % B 36 %,854.9,1.7,63.5,36.5,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,Hazel1 20-30,sharedharvest2012@gmail.com,8,Soil,microbes,3,20-30cm,692 ug C / g F:B = 1.4 : 1 F 58 % B 42 %,691.7,1.4,57.9,42.1,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,Hazel1 0-15,sharedharvest2012@gmail.com,8,Soil,microbes,3,0-15cm,972 ug C / g F:B = 2.0 : 1 F 67 % B 33 %,972.4,2,66.6,33.4,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,Hazel0 20-30cm,sharedharvest2012@gmail.com,0,Soil,microbes,3,20-30cm,712 ug C / g F:B = 1.4 : 1 F 59 % B 41 %,711.8,1.4,59.1,40.9,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Hazel,Hazel0 0-15cm,sharedharvest2012@gmail.com,0,Soil,microbes,3,0-15cm,897 ug C / g F:B = 1.9 : 1 F 65 % B 35 %,896.8,1.9,65.2,34.8,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder3 20-30cm,sharedharvest2012@gmail.com,30,Soil,microbes,3,20-30cm,476 ug C / g F:B = 0.9 : 1 F 48 % B 52 %,475.7,0.9,48,52,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder3 0-15cm,sharedharvest2012@gmail.com,30,Soil,microbes,3,0-15cm,692 ug C / g F:B = 1.4 : 1 F 58 % B 42 %,691.6,1.4,57.8,42.2,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
